CL, Tau_in, Rise Time, Fall Time, Clock-to-Q-HL, Clock-to-Q-LH
0.000000e-15,7.672727e-11,2.500000e-10,1.750000e-10,3.250000e-10,2.750000e-10
0.000000e-15,1.818182e-10,2.500000e-10,1.750000e-10,3.750000e-10,3.250000e-10
0.000000e-15,2.727273e-10,2.750000e-10,1.500000e-10,4.250000e-10,3.750000e-10
0.000000e-15,3.750000e-10,2.500000e-10,1.500000e-10,4.750000e-10,4.250000e-10
0.000000e-15,4.772727e-10,2.750000e-10,1.500000e-10,5.000000e-10,4.500000e-10
0.000000e-15,5.795455e-10,2.750000e-10,1.750000e-10,5.250000e-10,4.750000e-10
0.000000e-15,6.704545e-10,3.000000e-10,1.500000e-10,5.750000e-10,5.250000e-10
0.000000e-15,7.613636e-10,3.000000e-10,1.750000e-10,6.000000e-10,5.500000e-10
1.000000e-15,7.672727e-11,2.500000e-10,1.750000e-10,3.250000e-10,2.750000e-10
1.000000e-15,1.818182e-10,2.500000e-10,1.750000e-10,3.750000e-10,3.250000e-10
1.000000e-15,2.727273e-10,2.750000e-10,1.500000e-10,4.250000e-10,3.750000e-10
1.000000e-15,3.750000e-10,2.500000e-10,1.500000e-10,4.750000e-10,4.250000e-10
1.000000e-15,4.772727e-10,2.750000e-10,1.500000e-10,5.000000e-10,4.500000e-10
1.000000e-15,5.795455e-10,2.750000e-10,1.750000e-10,5.250000e-10,4.750000e-10
1.000000e-15,6.704545e-10,3.000000e-10,1.500000e-10,5.750000e-10,5.250000e-10
1.000000e-15,7.613636e-10,3.000000e-10,1.750000e-10,6.000000e-10,5.500000e-10
2.000000e-15,7.672727e-11,2.500000e-10,1.750000e-10,3.250000e-10,2.750000e-10
2.000000e-15,1.818182e-10,2.500000e-10,1.750000e-10,3.750000e-10,3.250000e-10
2.000000e-15,2.727273e-10,2.750000e-10,1.500000e-10,4.250000e-10,3.750000e-10
2.000000e-15,3.750000e-10,2.500000e-10,1.500000e-10,4.750000e-10,4.250000e-10
2.000000e-15,4.772727e-10,2.750000e-10,1.500000e-10,5.000000e-10,4.500000e-10
2.000000e-15,5.795455e-10,2.750000e-10,1.750000e-10,5.250000e-10,4.750000e-10
