CL, Tau_in, Rise Time, Fall Time, Clock-to-Q-HL, Clock-to-Q-LH
1.000000e-15,1.000000e-10,2.750000e-10,1.750000e-10,2.935000e-10,2.580000e-10
1.000000e-15,2.000000e-10,2.750000e-10,1.750000e-10,2.941000e-10,2.650000e-10
1.000000e-15,3.000000e-10,2.750000e-10,1.700000e-10,2.947000e-10,2.648000e-10
1.000000e-15,4.000000e-10,2.750000e-10,1.750000e-10,3.000000e-10,2.700000e-10
1.000000e-15,5.000000e-10,2.750000e-10,1.750000e-10,3.000000e-10,2.650000e-10
1.000000e-15,6.000000e-10,2.750000e-10,1.750000e-10,3.050000e-10,2.750000e-10
1.000000e-15,7.000000e-10,2.750000e-10,1.750000e-10,3.050000e-10,2.750000e-10
1.000000e-15,8.000000e-10,2.750000e-10,1.750000e-10,3.100000e-10,2.800000e-10
1.000000e-15,9.000000e-10,2.750000e-10,1.750000e-10,3.100000e-10,2.800000e-10
1.000000e-15,1.000000e-09,2.750000e-10,1.700000e-10,3.150000e-10,2.850000e-10
1.000000e-15,1.100000e-09,2.750000e-10,1.700000e-10,3.150000e-10,2.850000e-10
1.000000e-15,1.200000e-09,2.750000e-10,1.750000e-10,3.200000e-10,2.950000e-10
1.000000e-15,1.300000e-09,2.750000e-10,1.750000e-10,3.200000e-10,2.950000e-10
2.000000e-15,1.000000e-10,2.900000e-10,1.900000e-10,3.035000e-10,2.732000e-10
2.000000e-15,2.000000e-10,2.950000e-10,1.900000e-10,3.041000e-10,2.750000e-10
2.000000e-15,3.000000e-10,2.950000e-10,1.900000e-10,3.047000e-10,2.748000e-10
2.000000e-15,4.000000e-10,2.950000e-10,1.900000e-10,3.100000e-10,2.800000e-10
2.000000e-15,5.000000e-10,2.900000e-10,1.850000e-10,3.100000e-10,2.800000e-10
2.000000e-15,6.000000e-10,2.950000e-10,1.850000e-10,3.100000e-10,2.850000e-10
2.000000e-15,7.000000e-10,2.950000e-10,1.900000e-10,3.150000e-10,2.850000e-10
2.000000e-15,8.000000e-10,2.950000e-10,1.900000e-10,3.200000e-10,2.900000e-10
2.000000e-15,9.000000e-10,2.950000e-10,1.900000e-10,3.200000e-10,2.900000e-10
2.000000e-15,1.000000e-09,2.950000e-10,1.900000e-10,3.250000e-10,2.950000e-10
2.000000e-15,1.100000e-09,2.900000e-10,1.900000e-10,3.250000e-10,2.950000e-10
2.000000e-15,1.200000e-09,2.900000e-10,1.900000e-10,3.300000e-10,3.000000e-10
2.000000e-15,1.300000e-09,2.950000e-10,1.850000e-10,3.300000e-10,3.050000e-10
3.000000e-15,1.000000e-10,3.150000e-10,2.050000e-10,3.135000e-10,2.786000e-10
3.000000e-15,2.000000e-10,3.100000e-10,2.000000e-10,3.141000e-10,2.851000e-10
3.000000e-15,3.000000e-10,3.100000e-10,2.000000e-10,3.147000e-10,2.848000e-10
3.000000e-15,4.000000e-10,3.100000e-10,2.000000e-10,3.200000e-10,2.900000e-10
3.000000e-15,5.000000e-10,3.150000e-10,2.050000e-10,3.200000e-10,2.900000e-10
3.000000e-15,6.000000e-10,3.150000e-10,2.050000e-10,3.200000e-10,2.950000e-10
3.000000e-15,7.000000e-10,3.100000e-10,2.050000e-10,3.200000e-10,2.950000e-10
3.000000e-15,8.000000e-10,3.100000e-10,2.000000e-10,3.300000e-10,3.000000e-10
3.000000e-15,9.000000e-10,3.100000e-10,2.000000e-10,3.300000e-10,3.000000e-10
3.000000e-15,1.000000e-09,3.150000e-10,2.000000e-10,3.350000e-10,3.050000e-10
3.000000e-15,1.100000e-09,3.150000e-10,2.000000e-10,3.350000e-10,3.100000e-10
3.000000e-15,1.200000e-09,3.150000e-10,2.050000e-10,3.400000e-10,3.150000e-10
3.000000e-15,1.300000e-09,3.150000e-10,2.050000e-10,3.400000e-10,3.150000e-10
4.000000e-15,1.000000e-10,3.300000e-10,2.150000e-10,3.185000e-10,2.931000e-10
4.000000e-15,2.000000e-10,3.300000e-10,2.150000e-10,3.241000e-10,2.951000e-10
4.000000e-15,3.000000e-10,3.350000e-10,2.200000e-10,3.247000e-10,2.948000e-10
4.000000e-15,4.000000e-10,3.300000e-10,2.150000e-10,3.250000e-10,3.000000e-10
4.000000e-15,5.000000e-10,3.300000e-10,2.150000e-10,3.300000e-10,3.000000e-10
4.000000e-15,6.000000e-10,3.300000e-10,2.150000e-10,3.300000e-10,3.050000e-10
4.000000e-15,7.000000e-10,3.350000e-10,2.150000e-10,3.300000e-10,3.050000e-10
4.000000e-15,8.000000e-10,3.350000e-10,2.150000e-10,3.350000e-10,3.100000e-10
4.000000e-15,9.000000e-10,3.300000e-10,2.200000e-10,3.400000e-10,3.100000e-10
4.000000e-15,1.000000e-09,3.300000e-10,2.200000e-10,3.450000e-10,3.150000e-10
4.000000e-15,1.100000e-09,3.300000e-10,2.150000e-10,3.450000e-10,3.200000e-10
4.000000e-15,1.200000e-09,3.300000e-10,2.150000e-10,3.500000e-10,3.250000e-10
4.000000e-15,1.300000e-09,3.300000e-10,2.150000e-10,3.500000e-10,3.250000e-10
5.000000e-15,1.000000e-10,3.450000e-10,2.300000e-10,3.285000e-10,3.031000e-10
5.000000e-15,2.000000e-10,3.500000e-10,2.300000e-10,3.341000e-10,3.051000e-10
5.000000e-15,3.000000e-10,3.500000e-10,2.300000e-10,3.297000e-10,3.048000e-10
5.000000e-15,4.000000e-10,3.500000e-10,2.300000e-10,3.350000e-10,3.100000e-10
5.000000e-15,5.000000e-10,3.500000e-10,2.300000e-10,3.400000e-10,3.100000e-10
5.000000e-15,6.000000e-10,3.500000e-10,2.250000e-10,3.400000e-10,3.150000e-10
5.000000e-15,7.000000e-10,3.500000e-10,2.300000e-10,3.400000e-10,3.150000e-10
5.000000e-15,8.000000e-10,3.500000e-10,2.300000e-10,3.450000e-10,3.200000e-10
5.000000e-15,9.000000e-10,3.500000e-10,2.300000e-10,3.450000e-10,3.200000e-10
5.000000e-15,1.000000e-09,3.500000e-10,2.300000e-10,3.500000e-10,3.250000e-10
5.000000e-15,1.100000e-09,3.500000e-10,2.300000e-10,3.500000e-10,3.300000e-10
5.000000e-15,1.200000e-09,3.550000e-10,2.300000e-10,3.600000e-10,3.350000e-10
5.000000e-15,1.300000e-09,3.500000e-10,2.300000e-10,3.600000e-10,3.350000e-10
6.000000e-15,1.000000e-10,3.700000e-10,2.450000e-10,3.385000e-10,3.132000e-10
6.000000e-15,2.000000e-10,3.700000e-10,2.400000e-10,3.391000e-10,3.152000e-10
6.000000e-15,3.000000e-10,3.650000e-10,2.400000e-10,3.397000e-10,3.148000e-10
6.000000e-15,4.000000e-10,3.700000e-10,2.450000e-10,3.450000e-10,3.200000e-10
6.000000e-15,5.000000e-10,3.700000e-10,2.450000e-10,3.500000e-10,3.200000e-10
6.000000e-15,6.000000e-10,3.700000e-10,2.450000e-10,3.500000e-10,3.250000e-10
6.000000e-15,7.000000e-10,3.700000e-10,2.450000e-10,3.500000e-10,3.250000e-10
6.000000e-15,8.000000e-10,3.650000e-10,2.450000e-10,3.550000e-10,3.300000e-10
6.000000e-15,9.000000e-10,3.650000e-10,2.450000e-10,3.550000e-10,3.300000e-10
6.000000e-15,1.000000e-09,3.700000e-10,2.400000e-10,3.600000e-10,3.350000e-10
6.000000e-15,1.100000e-09,3.700000e-10,2.400000e-10,3.600000e-10,3.350000e-10
6.000000e-15,1.200000e-09,3.700000e-10,2.400000e-10,3.650000e-10,3.450000e-10
6.000000e-15,1.300000e-09,3.700000e-10,2.400000e-10,3.650000e-10,3.450000e-10
7.000000e-15,1.000000e-10,3.850000e-10,2.550000e-10,3.485000e-10,3.232000e-10
7.000000e-15,2.000000e-10,3.850000e-10,2.600000e-10,3.491000e-10,3.252000e-10
7.000000e-15,3.000000e-10,3.900000e-10,2.550000e-10,3.497000e-10,3.248000e-10
7.000000e-15,4.000000e-10,3.850000e-10,2.550000e-10,3.550000e-10,3.300000e-10
7.000000e-15,5.000000e-10,3.850000e-10,2.550000e-10,3.550000e-10,3.300000e-10
7.000000e-15,6.000000e-10,3.850000e-10,2.550000e-10,3.550000e-10,3.350000e-10
7.000000e-15,7.000000e-10,3.850000e-10,2.550000e-10,3.600000e-10,3.350000e-10
7.000000e-15,8.000000e-10,3.900000e-10,2.550000e-10,3.650000e-10,3.400000e-10
7.000000e-15,9.000000e-10,3.900000e-10,2.550000e-10,3.650000e-10,3.400000e-10
7.000000e-15,1.000000e-09,3.900000e-10,2.550000e-10,3.700000e-10,3.450000e-10
7.000000e-15,1.100000e-09,3.850000e-10,2.550000e-10,3.700000e-10,3.450000e-10
7.000000e-15,1.200000e-09,3.850000e-10,2.550000e-10,3.750000e-10,3.550000e-10
7.000000e-15,1.300000e-09,3.850000e-10,2.550000e-10,3.750000e-10,3.550000e-10
8.000000e-15,1.000000e-10,4.050000e-10,2.700000e-10,3.535000e-10,3.286000e-10
8.000000e-15,2.000000e-10,4.100000e-10,2.700000e-10,3.591000e-10,3.352000e-10
8.000000e-15,3.000000e-10,4.050000e-10,2.700000e-10,3.597000e-10,3.348000e-10
8.000000e-15,4.000000e-10,4.100000e-10,2.700000e-10,3.600000e-10,3.400000e-10
8.000000e-15,5.000000e-10,4.050000e-10,2.700000e-10,3.650000e-10,3.350000e-10
8.000000e-15,6.000000e-10,4.100000e-10,2.700000e-10,3.650000e-10,3.450000e-10
8.000000e-15,7.000000e-10,4.050000e-10,2.700000e-10,3.650000e-10,3.450000e-10
8.000000e-15,8.000000e-10,4.050000e-10,2.700000e-10,3.700000e-10,3.500000e-10
8.000000e-15,9.000000e-10,4.050000e-10,2.650000e-10,3.700000e-10,3.500000e-10
8.000000e-15,1.000000e-09,4.050000e-10,2.650000e-10,3.800000e-10,3.550000e-10
8.000000e-15,1.100000e-09,4.050000e-10,2.700000e-10,3.800000e-10,3.550000e-10
8.000000e-15,1.200000e-09,4.050000e-10,2.700000e-10,3.850000e-10,3.650000e-10
8.000000e-15,1.300000e-09,4.100000e-10,2.700000e-10,3.850000e-10,3.650000e-10
9.000000e-15,1.000000e-10,4.250000e-10,2.800000e-10,3.635000e-10,3.386000e-10
9.000000e-15,2.000000e-10,4.250000e-10,2.850000e-10,3.641000e-10,3.402000e-10
9.000000e-15,3.000000e-10,4.250000e-10,2.850000e-10,3.647000e-10,3.448000e-10
9.000000e-15,4.000000e-10,4.250000e-10,2.800000e-10,3.700000e-10,3.500000e-10
9.000000e-15,5.000000e-10,4.250000e-10,2.800000e-10,3.750000e-10,3.450000e-10
9.000000e-15,6.000000e-10,4.250000e-10,2.800000e-10,3.750000e-10,3.550000e-10
9.000000e-15,7.000000e-10,4.250000e-10,2.800000e-10,3.750000e-10,3.550000e-10
9.000000e-15,8.000000e-10,4.250000e-10,2.800000e-10,3.800000e-10,3.600000e-10
9.000000e-15,9.000000e-10,4.250000e-10,2.800000e-10,3.800000e-10,3.600000e-10
9.000000e-15,1.000000e-09,4.250000e-10,2.850000e-10,3.850000e-10,3.650000e-10
9.000000e-15,1.100000e-09,4.250000e-10,2.850000e-10,3.850000e-10,3.650000e-10
9.000000e-15,1.200000e-09,4.250000e-10,2.800000e-10,3.950000e-10,3.700000e-10
