CL,Tau_in,Rise Time,Fall Time,t_HL,t_LH
1.000000e-15,1.000000e-11,6.100000e-11,5.700000e-11,5.150000e-11,3.350000e-11
1.000000e-15,2.000000e-11,6.600000e-11,5.950000e-11,5.600000e-11,3.850000e-11
1.000000e-15,3.000000e-11,7.050000e-11,6.250000e-11,6.000000e-11,4.250000e-11
1.000000e-15,4.000000e-11,7.500000e-11,6.600000e-11,6.450000e-11,4.600000e-11
1.000000e-15,5.000000e-11,7.900000e-11,7.000000e-11,6.750000e-11,4.950000e-11
1.000000e-15,6.000000e-11,8.300000e-11,7.400000e-11,7.050000e-11,5.250000e-11
1.000000e-15,7.000000e-11,8.700000e-11,7.750000e-11,7.350000e-11,5.550000e-11
1.000000e-15,8.000000e-11,9.050000e-11,8.150000e-11,7.550000e-11,5.750000e-11
1.000000e-15,9.000000e-11,9.450000e-11,8.450000e-11,7.800000e-11,6.000000e-11
1.000000e-15,1.000000e-10,9.800000e-11,8.750000e-11,7.950000e-11,6.250000e-11
1.000000e-15,1.100000e-10,1.020000e-10,9.100000e-11,8.200000e-11,6.500000e-11
1.000000e-15,1.200000e-10,1.060000e-10,9.450000e-11,8.400000e-11,6.700000e-11
1.000000e-15,1.300000e-10,1.100000e-10,9.800000e-11,8.550000e-11,6.900000e-11
1.000000e-15,1.400000e-10,1.140000e-10,1.015000e-10,8.700000e-11,7.100000e-11
1.000000e-15,1.500000e-10,1.180000e-10,1.045000e-10,8.900000e-11,7.300000e-11
1.000000e-15,1.600000e-10,1.215000e-10,1.080000e-10,9.100000e-11,7.500000e-11
1.000000e-15,1.700000e-10,1.255000e-10,1.115000e-10,9.250000e-11,7.650000e-11
1.000000e-15,1.800000e-10,1.295000e-10,1.155000e-10,9.400000e-11,7.850000e-11
1.000000e-15,1.900000e-10,1.335000e-10,1.185000e-10,9.550000e-11,8.000000e-11
1.000000e-15,2.000000e-10,1.370000e-10,1.225000e-10,9.700000e-11,8.200000e-11
1.000000e-15,2.100000e-10,1.410000e-10,1.265000e-10,9.800000e-11,8.350000e-11
1.000000e-15,2.200000e-10,1.450000e-10,1.295000e-10,9.950000e-11,8.550000e-11
1.000000e-15,2.300000e-10,1.490000e-10,1.335000e-10,1.010000e-10,8.700000e-11
1.000000e-15,2.400000e-10,1.525000e-10,1.370000e-10,1.025000e-10,8.850000e-11
1.000000e-15,2.500000e-10,1.570000e-10,1.410000e-10,1.040000e-10,9.000000e-11
1.000000e-15,2.600000e-10,1.605000e-10,1.440000e-10,1.045000e-10,9.150000e-11
1.000000e-15,2.700000e-10,1.645000e-10,1.480000e-10,1.060000e-10,9.300000e-11
1.000000e-15,2.800000e-10,1.685000e-10,1.515000e-10,1.075000e-10,9.400000e-11
1.000000e-15,2.900000e-10,1.720000e-10,1.555000e-10,1.080000e-10,9.550000e-11
1.000000e-15,3.000000e-10,1.755000e-10,1.590000e-10,1.095000e-10,9.700000e-11
1.000000e-15,3.100000e-10,1.800000e-10,1.625000e-10,1.110000e-10,9.850000e-11
1.000000e-15,3.200000e-10,1.835000e-10,1.665000e-10,1.115000e-10,1.000000e-10
1.000000e-15,3.300000e-10,1.875000e-10,1.700000e-10,1.130000e-10,1.010000e-10
1.000000e-15,3.400000e-10,1.910000e-10,1.735000e-10,1.135000e-10,1.025000e-10
1.000000e-15,3.500000e-10,1.945000e-10,1.770000e-10,1.150000e-10,1.035000e-10
1.000000e-15,3.600000e-10,1.985000e-10,1.810000e-10,1.155000e-10,1.045000e-10
1.000000e-15,3.700000e-10,2.020000e-10,1.845000e-10,1.170000e-10,1.060000e-10
1.000000e-15,3.800000e-10,2.060000e-10,1.880000e-10,1.175000e-10,1.070000e-10
1.000000e-15,3.900000e-10,2.095000e-10,1.915000e-10,1.190000e-10,1.085000e-10
1.000000e-15,4.000000e-10,2.135000e-10,1.950000e-10,1.195000e-10,1.095000e-10
1.000000e-15,4.100000e-10,2.170000e-10,1.985000e-10,1.210000e-10,1.110000e-10
1.000000e-15,4.200000e-10,2.210000e-10,2.025000e-10,1.215000e-10,1.120000e-10
1.000000e-15,4.300000e-10,2.245000e-10,2.060000e-10,1.225000e-10,1.130000e-10
1.000000e-15,4.400000e-10,2.285000e-10,2.095000e-10,1.235000e-10,1.140000e-10
1.000000e-15,4.500000e-10,2.320000e-10,2.130000e-10,1.245000e-10,1.155000e-10
1.000000e-15,4.600000e-10,2.360000e-10,2.165000e-10,1.250000e-10,1.165000e-10
1.000000e-15,4.700000e-10,2.390000e-10,2.200000e-10,1.260000e-10,1.175000e-10
1.000000e-15,4.800000e-10,2.430000e-10,2.235000e-10,1.270000e-10,1.190000e-10
1.000000e-15,4.900000e-10,2.465000e-10,2.275000e-10,1.280000e-10,1.195000e-10
2.000000e-15,1.000000e-11,7.300000e-11,7.000000e-11,5.900000e-11,3.900000e-11
2.000000e-15,2.000000e-11,7.650000e-11,7.250000e-11,6.350000e-11,4.450000e-11
2.000000e-15,3.000000e-11,8.150000e-11,7.500000e-11,6.800000e-11,4.900000e-11
2.000000e-15,4.000000e-11,8.600000e-11,7.900000e-11,7.200000e-11,5.300000e-11
2.000000e-15,5.000000e-11,9.050000e-11,8.300000e-11,7.600000e-11,5.650000e-11
2.000000e-15,6.000000e-11,9.500000e-11,8.650000e-11,7.950000e-11,5.950000e-11
2.000000e-15,7.000000e-11,9.900000e-11,9.100000e-11,8.250000e-11,6.300000e-11
2.000000e-15,8.000000e-11,1.030000e-10,9.500000e-11,8.500000e-11,6.550000e-11
2.000000e-15,9.000000e-11,1.065000e-10,9.900000e-11,8.750000e-11,6.850000e-11
2.000000e-15,1.000000e-10,1.110000e-10,1.025000e-10,9.050000e-11,7.100000e-11
2.000000e-15,1.100000e-10,1.145000e-10,1.055000e-10,9.250000e-11,7.350000e-11
2.000000e-15,1.200000e-10,1.185000e-10,1.090000e-10,9.400000e-11,7.600000e-11
2.000000e-15,1.300000e-10,1.220000e-10,1.130000e-10,9.650000e-11,7.800000e-11
2.000000e-15,1.400000e-10,1.260000e-10,1.160000e-10,9.850000e-11,8.050000e-11
2.000000e-15,1.500000e-10,1.300000e-10,1.195000e-10,1.005000e-10,8.300000e-11
2.000000e-15,1.600000e-10,1.340000e-10,1.230000e-10,1.025000e-10,8.500000e-11
2.000000e-15,1.700000e-10,1.380000e-10,1.270000e-10,1.045000e-10,8.700000e-11
2.000000e-15,1.800000e-10,1.420000e-10,1.305000e-10,1.060000e-10,8.850000e-11
2.000000e-15,1.900000e-10,1.460000e-10,1.340000e-10,1.075000e-10,9.050000e-11
2.000000e-15,2.000000e-10,1.500000e-10,1.380000e-10,1.095000e-10,9.250000e-11
2.000000e-15,2.100000e-10,1.540000e-10,1.410000e-10,1.110000e-10,9.450000e-11
2.000000e-15,2.200000e-10,1.575000e-10,1.450000e-10,1.125000e-10,9.650000e-11
2.000000e-15,2.300000e-10,1.615000e-10,1.485000e-10,1.140000e-10,9.800000e-11
2.000000e-15,2.400000e-10,1.655000e-10,1.525000e-10,1.155000e-10,9.950000e-11
2.000000e-15,2.500000e-10,1.695000e-10,1.565000e-10,1.165000e-10,1.015000e-10
2.000000e-15,2.600000e-10,1.735000e-10,1.595000e-10,1.185000e-10,1.030000e-10
2.000000e-15,2.700000e-10,1.770000e-10,1.635000e-10,1.195000e-10,1.045000e-10
2.000000e-15,2.800000e-10,1.810000e-10,1.675000e-10,1.210000e-10,1.060000e-10
2.000000e-15,2.900000e-10,1.850000e-10,1.710000e-10,1.225000e-10,1.075000e-10
2.000000e-15,3.000000e-10,1.890000e-10,1.750000e-10,1.235000e-10,1.095000e-10
2.000000e-15,3.100000e-10,1.925000e-10,1.780000e-10,1.250000e-10,1.110000e-10
2.000000e-15,3.200000e-10,1.970000e-10,1.820000e-10,1.265000e-10,1.125000e-10
2.000000e-15,3.300000e-10,2.005000e-10,1.860000e-10,1.275000e-10,1.135000e-10
2.000000e-15,3.400000e-10,2.040000e-10,1.895000e-10,1.285000e-10,1.150000e-10
2.000000e-15,3.500000e-10,2.085000e-10,1.930000e-10,1.295000e-10,1.165000e-10
